Object, R, G, B, HEX
Gravel,104,82,59, 68523B
Blue,24,83,137,185389
Blue,26,83,137, 1A5389
Blue,21,84,134,155486
Blue,40,81,127, 28517F
Blue,30,81,137, 1E5189
Blue,30,79,131, 1E4F83
Blue,26,80,132, 1A5084
Blue,32,79,129, 204F81
Blue,33,78,127, 214E7F
Gravel,98,82,57,625239
Green,70,116,55,467437
Green,69,116,55,457437
Green,70,112,50,467032
Sand,112,78,57,7.04E+41
Sand,112,76,52, 704C34
Screw,92,83,60, 5C533C
Screw,106,120,69, 6A7845
Green,69,113,50,457132
Green,75,109,50, 4B6D32
Screw,88,108,61, 586C3D
Green,59,117,51, 3B7533
Green,72,111,50, 486F32
Screw,88,107,78, 586B4E
Green,72,110,50,4.86E+34
Green,67,113,50,437132
Red,167,45,44, A72D2C
Wood,93,86,64, 5D5640
Wood,102,107,81, 666B51
Wood,96,84,64,605440
Red,168,44,43, A82C2B
Wood,94,82,59, 5E523B
Red,166,45,44, A62D2C
Wood,96,82,59, 60523B
Red,166,46,44, A62E2C
Wood,96,82,59, 60523B
Red,167,44,44, A72C2C
Red,164,43,40, A42B28
Wood,96,81,58, 60513A
Red,166,42,38, A62A26
Red,156,47,42, 9C2F2A
Red,166,42,39, A62A27
Red,160,45,40, A02D28
Wood,95,82,59, 5F523B
Wood,94,82,59, 5E523B
Wood,93,83,60, 5D533C
Wood,89,84,61, 59543D
