Object, R, G, B, HEX
Blue,61,100,111, 3D646F
Blue,61,100,111, 3D646F
Blue,69,99,104,456368
Blue,65,98,104,416268
Blue,59,100,113, 3B6471
Blue,62,97,111, 3E616F
Blue,65,94,108, 415E6C
Empty,102,98,60, 66623C
Green,109,105,50, 6D6932
Green,111,104,50, 6F6832
Green,107,107,50, 6B6B32
Green,109,106,50, 6D6A32
Green,112,104,50,706832
Green,107,106,51, 6B6A33
Green,108,105,51, 6C6933
Green,107,107,51, 6B6B33
Green,111,102,51, 6F6633
Green,103,109,50, 676D32
Green,108,106,50, 6C6A32
Green,98,112,50,627032
Green,87,115,52,577334
Green,116,98,51,746233
Green,111,105,50, 6F6932
Green,100,110,49,6.46E+33
Green,105,107,50, 696B32
Red,199,42,40, C72A28
Red,201,41,39, C92927
Red,189,49,42, BD312A
Red,200,41,40, C82928
Red,199,42,41, C72A29
Red,195,44,41, C32C29
Red,200,41,40, C82928
Screw,130,84,50,825432
Screw,133,81,49,855131
Screw,135,83,47, 87532F
Screw,119,89,53,775935
Wood,134,81,51,865133
Wood,132,82,51,845233
Wood,138,79,51, 8A4F33
Wood,139,79,51, 8B4F33
Wood,141,78,50, 8D4E32
Wood,142,77,50, 8E4D32
Wood,139,78,51, 8B4E33
Wood,137,79,53, 894F35
Wood,139,79,52, 8B4F34
Wood,139,78,52, 8B4E34
Wood,139,79,51, 8B4F33
Wood,135,80,52,875034
Wood,137,79,52, 894F34
Wood,146,79,53, 924F35
Wood,134,82,51,865233
Wood,139,78,51, 8B4E33
Wood,141,77,51, 8D4D33
